Datum;BundeslandID;Bevölkerung;Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100
2021-01-21T23:59:59+01:00;5;558410;Salzburg;10215;1.83;14166;2.54
2021-01-21T23:59:59+01:00;6;1246395;Steiermark;26018;2.09;32849;2.64
2021-01-21T23:59:59+01:00;7;757634;Tirol;13878;1.83;15155;2.00
2021-01-21T23:59:59+01:00;8;397139;Vorarlberg;10285;2.59;10438;2.63
2021-01-21T23:59:59+01:00;9;1911191;Wien;41209;2.16;51391;2.69
2021-01-21T23:59:59+01:00;10;8901064;Österreich;169554;1.9;210627;2.37
2021-01-22T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-22T23:59:59+01:00;1;294436;Burgenland;4901;1.66;5946;2.02
2021-01-22T23:59:59+01:00;2;561293;Kärnten;11310;2.01;13812;2.46
2021-01-22T23:59:59+01:00;3;1684287;Niederösterreich;24996;1.48;31810;1.89
2021-01-22T23:59:59+01:00;4;1490279;Oberösterreich;26837;1.8;37640;2.53
2021-01-22T23:59:59+01:00;5;558410;Salzburg;10355;1.85;14154;2.53
2021-01-22T23:59:59+01:00;6;1246395;Steiermark;26013;2.09;33030;2.65
2021-01-22T23:59:59+01:00;7;757634;Tirol;13878;1.83;16818;2.22
2021-01-22T23:59:59+01:00;8;397139;Vorarlberg;10285;2.59;10810;2.72
2021-01-22T23:59:59+01:00;9;1911191;Wien;41569;2.18;51547;2.70
2021-01-22T23:59:59+01:00;10;8901064;Österreich;170144;1.91;215567;2.42
2021-01-23T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-23T23:59:59+01:00;1;294436;Burgenland;4901;1.66;6132;2.08
2021-01-23T23:59:59+01:00;2;561293;Kärnten;11310;2.01;13812;2.46
2021-01-23T23:59:59+01:00;3;1684287;Niederösterreich;24996;1.48;31810;1.89
2021-01-23T23:59:59+01:00;4;1490279;Oberösterreich;26837;1.8;37640;2.53
2021-01-23T23:59:59+01:00;5;558410;Salzburg;10355;1.85;14154;2.53
2021-01-23T23:59:59+01:00;6;1246395;Steiermark;26013;2.09;33030;2.65
2021-01-23T23:59:59+01:00;7;757634;Tirol;13878;1.83;17112;2.26
2021-01-23T23:59:59+01:00;8;397139;Vorarlberg;10285;2.59;10810;2.72
2021-01-23T23:59:59+01:00;9;1911191;Wien;41569;2.18;51547;2.70
2021-01-23T23:59:59+01:00;10;8901064;Österreich;170144;1.91;216047;2.43
2021-01-24T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-24T23:59:59+01:00;1;294436;Burgenland;5364;1.82;6132;2.08
2021-01-24T23:59:59+01:00;2;561293;Kärnten;11982;2.13;13812;2.46
2021-01-24T23:59:59+01:00;3;1684287;Niederösterreich;26020;1.54;31810;1.89
2021-01-24T23:59:59+01:00;4;1490279;Oberösterreich;33112;2.22;37640;2.53
2021-01-24T23:59:59+01:00;5;558410;Salzburg;10633;1.9;14154;2.53
2021-01-24T23:59:59+01:00;6;1246395;Steiermark;28145;2.26;33030;2.65
2021-01-24T23:59:59+01:00;7;757634;Tirol;15473;2.04;17112;2.26
2021-01-24T23:59:59+01:00;8;397139;Vorarlberg;10657;2.68;10810;2.72
2021-01-24T23:59:59+01:00;9;1911191;Wien;44257;2.32;51547;2.70
2021-01-24T23:59:59+01:00;10;8901064;Österreich;185643;2.09;216047;2.43
2021-01-25T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-25T23:59:59+01:00;1;294436;Burgenland;5364;1.82;6198;2.11
2021-01-25T23:59:59+01:00;2;561293;Kärnten;12024;2.14;13956;2.49
2021-01-25T23:59:59+01:00;3;1684287;Niederösterreich;26584;1.58;39166;2.33
2021-01-25T23:59:59+01:00;4;1490279;Oberösterreich;35042;2.35;46046;3.09
2021-01-25T23:59:59+01:00;5;558410;Salzburg;11059;1.98;14154;2.53
2021-01-25T23:59:59+01:00;6;1246395;Steiermark;28345;2.27;39798;3.19
2021-01-25T23:59:59+01:00;7;757634;Tirol;16023;2.11;17112;2.26
2021-01-25T23:59:59+01:00;8;397139;Vorarlberg;10657;2.68;13588;3.42
2021-01-25T23:59:59+01:00;9;1911191;Wien;44893;2.35;52981;2.77
2021-01-25T23:59:59+01:00;10;8901064;Österreich;189991;2.13;242999;2.73
2021-01-26T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-26T23:59:59+01:00;1;294436;Burgenland;5364;1.82;6198;2.11
2021-01-26T23:59:59+01:00;2;561293;Kärnten;12354;2.2;15636;2.79
2021-01-26T23:59:59+01:00;3;1684287;Niederösterreich;27066;1.61;39502;2.35
2021-01-26T23:59:59+01:00;4;1490279;Oberösterreich;36056;2.42;46486;3.12
2021-01-26T23:59:59+01:00;5;558410;Salzburg;11494;2.06;14089;2.52
2021-01-26T23:59:59+01:00;6;1246395;Steiermark;28868;2.32;56968;4.57
2021-01-26T23:59:59+01:00;7;757634;Tirol;16571;2.19;17112;2.26
2021-01-26T23:59:59+01:00;8;397139;Vorarlberg;10502;2.64;13433;3.38
2021-01-26T23:59:59+01:00;9;1911191;Wien;47611;2.49;60025;3.14
2021-01-26T23:59:59+01:00;10;8901064;Österreich;195886;2.2;269449;3.03
2021-01-27T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-27T23:59:59+01:00;1;294436;Burgenland;5616;1.91;7320;2.49
2021-01-27T23:59:59+01:00;2;561293;Kärnten;13548;2.41;17886;3.19
2021-01-27T23:59:59+01:00;3;1684287;Niederösterreich;29213;1.73;45022;2.67
2021-01-27T23:59:59+01:00;4;1490279;Oberösterreich;37540;2.52;47278;3.17
2021-01-27T23:59:59+01:00;5;558410;Salzburg;12456;2.23;15091;2.70
2021-01-27T23:59:59+01:00;6;1246395;Steiermark;30989;2.49;57479;4.61
2021-01-27T23:59:59+01:00;7;757634;Tirol;16997;2.24;19596;2.59
2021-01-27T23:59:59+01:00;8;397139;Vorarlberg;11894;2.99;16601;4.18
2021-01-27T23:59:59+01:00;9;1911191;Wien;50191;2.63;63007;3.30
2021-01-27T23:59:59+01:00;10;8901064;Österreich;208444;2.34;289280;3.25
2021-01-28T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-28T23:59:59+01:00;1;294436;Burgenland;5616;1.91;7512;2.55
2021-01-28T23:59:59+01:00;2;561293;Kärnten;13548;2.41;19116;3.41
2021-01-28T23:59:59+01:00;3;1684287;Niederösterreich;31151;1.85;46270;2.75
2021-01-28T23:59:59+01:00;4;1490279;Oberösterreich;37630;2.53;47278;3.17
2021-01-28T23:59:59+01:00;5;558410;Salzburg;12631;2.26;16213;2.90
2021-01-28T23:59:59+01:00;6;1246395;Steiermark;31331;2.51;57443;4.61
2021-01-28T23:59:59+01:00;7;757634;Tirol;16997;2.24;24678;3.26
2021-01-28T23:59:59+01:00;8;397139;Vorarlberg;13355;3.36;16601;4.18
2021-01-28T23:59:59+01:00;9;1911191;Wien;50191;2.63;63313;3.31
2021-01-28T23:59:59+01:00;10;8901064;Österreich;212450;2.39;298424;3.35
2021-01-29T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-29T23:59:59+01:00;1;294436;Burgenland;5807;1.97;7998;2.72
2021-01-29T23:59:59+01:00;2;561293;Kärnten;13548;2.41;19158;3.41
2021-01-29T23:59:59+01:00;3;1684287;Niederösterreich;32160;1.91;48814;2.90
2021-01-29T23:59:59+01:00;4;1490279;Oberösterreich;37630;2.53;48838;3.28
2021-01-29T23:59:59+01:00;5;558410;Salzburg;12787;2.29;17761;3.18
2021-01-29T23:59:59+01:00;6;1246395;Steiermark;31423;2.52;57425;4.61
2021-01-29T23:59:59+01:00;7;757634;Tirol;16997;2.24;25530;3.37
2021-01-29T23:59:59+01:00;8;397139;Vorarlberg;13355;3.36;16601;4.18
2021-01-29T23:59:59+01:00;9;1911191;Wien;51433;2.69;63397;3.32
2021-01-29T23:59:59+01:00;10;8901064;Österreich;215140;2.42;305522;3.43
2021-01-30T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-30T23:59:59+01:00;1;294436;Burgenland;5807;1.97;7998;2.72
2021-01-30T23:59:59+01:00;2;561293;Kärnten;13133;2.34;18743;3.34
2021-01-30T23:59:59+01:00;3;1684287;Niederösterreich;32160;1.91;48814;2.90
2021-01-30T23:59:59+01:00;4;1490279;Oberösterreich;37630;2.53;48838;3.28
2021-01-30T23:59:59+01:00;5;558410;Salzburg;12787;2.29;17761;3.18
2021-01-30T23:59:59+01:00;6;1246395;Steiermark;31423;2.52;57425;4.61
2021-01-30T23:59:59+01:00;7;757634;Tirol;16997;2.24;25374;3.35
2021-01-30T23:59:59+01:00;8;397139;Vorarlberg;13355;3.36;16601;4.18
2021-01-30T23:59:59+01:00;9;1911191;Wien;51433;2.69;63397;3.32
2021-01-30T23:59:59+01:00;10;8901064;Österreich;214725;2.41;304951;3.43
2021-01-31T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-31T23:59:59+01:00;1;294436;Burgenland;5807;1.97;7998;2.72
2021-01-31T23:59:59+01:00;2;561293;Kärnten;13133;2.34;18743;3.34
2021-01-31T23:59:59+01:00;3;1684287;Niederösterreich;32160;1.91;49414;2.93
2021-01-31T23:59:59+01:00;4;1490279;Oberösterreich;37630;2.53;48838;3.28
2021-01-31T23:59:59+01:00;5;558410;Salzburg;12787;2.29;17761;3.18
2021-01-31T23:59:59+01:00;6;1246395;Steiermark;31423;2.52;58571;4.70
2021-01-31T23:59:59+01:00;7;757634;Tirol;16997;2.24;25374;3.35
2021-01-31T23:59:59+01:00;8;397139;Vorarlberg;13355;3.36;16601;4.18
2021-01-31T23:59:59+01:00;9;1911191;Wien;51433;2.69;63397;3.32
2021-01-31T23:59:59+01:00;10;8901064;Österreich;214725;2.41;306697;3.45
2021-02-01T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-02-01T23:59:59+01:00;1;294436;Burgenland;6726;2.28;7998;2.72
2021-02-01T23:59:59+01:00;2;561293;Kärnten;15017;2.68;20849;3.71
2021-02-01T23:59:59+01:00;3;1684287;Niederösterreich;41395;2.46;50206;2.98
2021-02-01T23:59:59+01:00;4;1490279;Oberösterreich;37798;2.54;59254;3.98
2021-02-01T23:59:59+01:00;5;558410;Salzburg;15199;2.72;18121;3.25
2021-02-01T23:59:59+01:00;6;1246395;Steiermark;35138;2.82;60905;4.89
2021-02-01T23:59:59+01:00;7;757634;Tirol;22314;2.95;27816;3.67
2021-02-01T23:59:59+01:00;8;397139;Vorarlberg;13985;3.52;16601;4.18
2021-02-01T23:59:59+01:00;9;1911191;Wien;54511;2.85;64375;3.37
2021-02-01T23:59:59+01:00;10;8901064;Österreich;242083;2.72;326125;3.66
2021-02-02T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-02-02T23:59:59+01:00;1;294436;Burgenland;6942;2.36;9870;3.35
2021-02-02T23:59:59+01:00;2;561293;Kärnten;16661;2.97;22685;4.04
2021-02-02T23:59:59+01:00;3;1684287;Niederösterreich;43379;2.58;52264;3.10
2021-02-02T23:59:59+01:00;4;1490279;Oberösterreich;43672;2.93;70828;4.75
2021-02-02T23:59:59+01:00;5;558410;Salzburg;15469;2.77;18121;3.25
2021-02-02T23:59:59+01:00;6;1246395;Steiermark;37667;3.02;62411;5.01
2021-02-02T23:59:59+01:00;7;757634;Tirol;23046;3.04;29826;3.94
2021-02-02T23:59:59+01:00;8;397139;Vorarlberg;15233;3.84;17801;4.48
2021-02-02T23:59:59+01:00;9;1911191;Wien;55465;2.9;85509;4.47
2021-02-02T23:59:59+01:00;10;8901064;Österreich;257534;2.89;369315;4.15
2021-02-03T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-02-03T23:59:59+01:00;1;294436;Burgenland;7176;2.44;10212;3.47
2021-02-03T23:59:59+01:00;2;561293;Kärnten;18017;3.21;24017;4.28
2021-02-03T23:59:59+01:00;3;1684287;Niederösterreich;46270;2.75;54640;3.24
2021-02-03T23:59:59+01:00;4;1490279;Oberösterreich;46828;3.14;71980;4.83
2021-02-03T23:59:59+01:00;5;558410;Salzburg;16147;2.89;21439;3.84
2021-02-03T23:59:59+01:00;6;1246395;Steiermark;40259;3.23;63605;5.10
2021-02-03T23:59:59+01:00;7;757634;Tirol;23868;3.15;31086;4.10
2021-02-03T23:59:59+01:00;8;397139;Vorarlberg;15233;3.84;18317;4.61
2021-02-03T23:59:59+01:00;9;1911191;Wien;58039;3.04;87375;4.57
2021-02-03T23:59:59+01:00;10;8901064;Österreich;271837;3.05;382671;4.30
2021-02-04T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-02-04T23:59:59+01:00;1;294436;Burgenland;7722;2.62;10572;3.59
2021-02-04T23:59:59+01:00;2;561293;Kärnten;18329;3.27;24017;4.28
2021-02-04T23:59:59+01:00;3;1684287;Niederösterreich;47806;2.84;57166;3.39
2021-02-04T23:59:59+01:00;4;1490279;Oberösterreich;48976;3.29;71980;4.83
2021-02-04T23:59:59+01:00;5;558410;Salzburg;17833;3.19;22321;4.00
2021-02-04T23:59:59+01:00;6;1246395;Steiermark;43109;3.46;63947;5.13
2021-02-04T23:59:59+01:00;7;757634;Tirol;25540;3.37;31584;4.17
2021-02-04T23:59:59+01:00;8;397139;Vorarlberg;16601;4.18;19259;4.85
2021-02-04T23:59:59+01:00;9;1911191;Wien;59191;3.1;92507;4.84
2021-02-04T23:59:59+01:00;10;8901064;Österreich;285107;3.2;393353;4.42
2021-02-05T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-02-05T23:59:59+01:00;1;294436;Burgenland;7824;2.66;10716;3.64
2021-02-05T23:59:59+01:00;2;561293;Kärnten;20729;3.69;24737;4.41
2021-02-05T23:59:59+01:00;3;1684287;Niederösterreich;48832;2.9;60406;3.59
2021-02-05T23:59:59+01:00;4;1490279;Oberösterreich;49150;3.3;78640;5.28
2021-02-05T23:59:59+01:00;5;558410;Salzburg;18061;3.23;22765;4.08
2021-02-05T23:59:59+01:00;6;1246395;Steiermark;43379;3.48;69959;5.61
2021-02-05T23:59:59+01:00;7;757634;Tirol;26136;3.45;33394;4.41
2021-02-05T23:59:59+01:00;8;397139;Vorarlberg;17801;4.48;19409;4.89
2021-02-05T23:59:59+01:00;9;1911191;Wien;65581;3.43;96207;5.03
2021-02-05T23:59:59+01:00;10;8901064;Österreich;297493;3.34;416233;4.68
2021-02-06T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-02-06T23:59:59+01:00;1;294436;Burgenland;7998;2.72;10716;3.64
2021-02-06T23:59:59+01:00;2;561293;Kärnten;21497;3.83;24737;4.41
2021-02-06T23:59:59+01:00;3;1684287;Niederösterreich;49576;2.94;61312;3.64
2021-02-06T23:59:59+01:00;4;1490279;Oberösterreich;49150;3.3;78640;5.28
2021-02-06T23:59:59+01:00;5;558410;Salzburg;18391;3.29;22807;4.08
2021-02-06T23:59:59+01:00;6;1246395;Steiermark;44201;3.55;70265;5.64
2021-02-06T23:59:59+01:00;7;757634;Tirol;26136;3.45;33682;4.45
2021-02-06T23:59:59+01:00;8;397139;Vorarlberg;17897;4.51;19913;5.01
2021-02-06T23:59:59+01:00;9;1911191;Wien;72511;3.79;95853;5.02
2021-02-06T23:59:59+01:00;10;8901064;Österreich;307357;3.45;417925;4.70
2021-02-07T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-02-07T23:59:59+01:00;1;294436;Burgenland;7998;2.72;10716;3.64
2021-02-07T23:59:59+01:00;2;561293;Kärnten;21497;3.83;24737;4.41
2021-02-07T23:59:59+01:00;3;1684287;Niederösterreich;49576;2.94;67732;4.02
2021-02-07T23:59:59+01:00;4;1490279;Oberösterreich;49150;3.3;83482;5.60
2021-02-07T23:59:59+01:00;5;558410;Salzburg;18391;3.29;22807;4.08
2021-02-07T23:59:59+01:00;6;1246395;Steiermark;44201;3.55;70289;5.64
2021-02-07T23:59:59+01:00;7;757634;Tirol;26136;3.45;33682;4.45
2021-02-07T23:59:59+01:00;8;397139;Vorarlberg;17897;4.51;21101;5.31
2021-02-07T23:59:59+01:00;9;1911191;Wien;72511;3.79;95853;5.02
