Time;Bundesland;BundeslandID;AnzEinwohner;AnzahlFaelle;AnzahlFaelleSum;AnzahlFaelle7Tage;SiebenTageInzidenzFaelle;AnzahlTotTaeglich;AnzahlTotSum;AnzahlGeheiltTaeglich;AnzahlGeheiltSum
05.03.2020 00:00:00;Niederösterreich;3;1677542;3;15;12;0,7153323;0;0;0;0
05.03.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
05.03.2020 00:00:00;Salzburg;5;555221;1;5;3;0,5403254;0;0;0;0
05.03.2020 00:00:00;Steiermark;6;1243052;0;4;4;0,3217886;0;0;0;0
05.03.2020 00:00:00;Tirol;7;754705;2;4;2;0,2650042;0;0;2;2
05.03.2020 00:00:00;Vorarlberg;8;394297;1;1;0;0;0;0;0;0
05.03.2020 00:00:00;Wien;9;1897491;1;17;15;0,7905176;0;0;0;0
05.03.2020 00:00:00;Österreich;10;8858775;9;47;36;0,4063767;0;0;2;2
06.03.2020 00:00:00;Burgenland;1;293433;4;4;0;0;0;0;0;0
06.03.2020 00:00:00;Kärnten;2;560939;0;1;1;0,1782725;0;0;0;0
06.03.2020 00:00:00;Niederösterreich;3;1677542;8;23;15;0,8941654;0;0;0;0
06.03.2020 00:00:00;Oberösterreich;4;1482095;1;1;0;0;0;0;0;0
06.03.2020 00:00:00;Salzburg;5;555221;1;6;4;0,7204338;0;0;0;0
06.03.2020 00:00:00;Steiermark;6;1243052;2;6;4;0,3217886;0;0;0;0
06.03.2020 00:00:00;Tirol;7;754705;3;7;4;0,5300084;0;0;0;2
06.03.2020 00:00:00;Vorarlberg;8;394297;0;1;1;0,2536159;0;0;0;0
06.03.2020 00:00:00;Wien;9;1897491;10;27;14;0,7378164;0;0;0;0
06.03.2020 00:00:00;Österreich;10;8858775;29;76;43;0,4853944;0;0;0;2
07.03.2020 00:00:00;Burgenland;1;293433;0;4;4;1,363173;0;0;0;0
07.03.2020 00:00:00;Kärnten;2;560939;0;1;1;0,1782725;0;0;0;0
07.03.2020 00:00:00;Niederösterreich;3;1677542;7;30;21;1,251832;0;0;0;0
07.03.2020 00:00:00;Oberösterreich;4;1482095;6;7;1;0,06747206;0;0;1;1
07.03.2020 00:00:00;Salzburg;5;555221;2;8;5;0,9005423;0;0;1;1
07.03.2020 00:00:00;Steiermark;6;1243052;2;8;5;0,4022358;0;0;0;0
07.03.2020 00:00:00;Tirol;7;754705;1;8;7;0,9275147;0;0;0;2
07.03.2020 00:00:00;Vorarlberg;8;394297;0;1;1;0,2536159;0;0;0;0
07.03.2020 00:00:00;Wien;9;1897491;5;32;23;1,212127;0;0;0;0
07.03.2020 00:00:00;Österreich;10;8858775;23;99;68;0,7676005;0;0;2;4
08.03.2020 00:00:00;Burgenland;1;293433;0;4;4;1,363173;0;0;0;0
08.03.2020 00:00:00;Kärnten;2;560939;0;1;1;0,1782725;0;0;0;0
08.03.2020 00:00:00;Niederösterreich;3;1677542;5;35;28;1,669109;0;0;0;0
08.03.2020 00:00:00;Oberösterreich;4;1482095;2;9;7;0,4723044;0;0;0;1
08.03.2020 00:00:00;Salzburg;5;555221;1;9;6;1,080651;0;0;0;1
08.03.2020 00:00:00;Steiermark;6;1243052;2;10;7;0,5631301;0;0;0;0
08.03.2020 00:00:00;Tirol;7;754705;16;24;8;1,060017;0;0;0;2
08.03.2020 00:00:00;Vorarlberg;8;394297;1;2;1;0,2536159;0;0;0;0
08.03.2020 00:00:00;Wien;9;1897491;1;33;28;1,475633;0;0;0;0
08.03.2020 00:00:00;Österreich;10;8858775;28;127;90;1,015942;0;0;0;4
09.03.2020 00:00:00;Burgenland;1;293433;0;4;4;1,363173;0;0;0;0
09.03.2020 00:00:00;Kärnten;2;560939;0;1;1;0,1782725;0;0;0;0
09.03.2020 00:00:00;Niederösterreich;3;1677542;3;38;33;1,967164;0;0;0;0
09.03.2020 00:00:00;Oberösterreich;4;1482095;3;12;9;0,6072485;0;0;0;1
09.03.2020 00:00:00;Salzburg;5;555221;2;11;7;1,260759;0;0;0;1
09.03.2020 00:00:00;Steiermark;6;1243052;7;17;9;0,7240244;0;0;0;0
09.03.2020 00:00:00;Tirol;7;754705;3;27;24;3,18005;0;0;0;2
09.03.2020 00:00:00;Vorarlberg;8;394297;1;3;2;0,5072318;0;0;0;0
09.03.2020 00:00:00;Wien;9;1897491;3;36;25;1,317529;0;0;0;0
09.03.2020 00:00:00;Österreich;10;8858775;22;149;114;1,28686;0;0;0;4
10.03.2020 00:00:00;Burgenland;1;293433;0;4;4;1,363173;0;0;0;0
10.03.2020 00:00:00;Kärnten;2;560939;0;1;1;0,1782725;0;0;0;0
10.03.2020 00:00:00;Niederösterreich;3;1677542;6;44;35;2,086386;0;0;0;0
10.03.2020 00:00:00;Oberösterreich;4;1482095;16;28;12;0,8096647;0;0;1;2
10.03.2020 00:00:00;Salzburg;5;555221;1;12;8;1,440868;0;0;2;3
10.03.2020 00:00:00;Steiermark;6;1243052;1;18;14;1,12626;0;0;0;0
10.03.2020 00:00:00;Tirol;7;754705;13;40;27;3,577557;0;0;0;2
10.03.2020 00:00:00;Vorarlberg;8;394297;9;12;3;0,7608478;0;0;0;0
10.03.2020 00:00:00;Wien;9;1897491;9;45;27;1,422932;0;0;2;2
10.03.2020 00:00:00;Österreich;10;8858775;55;204;131;1,47876;0;0;5;9
11.03.2020 00:00:00;Burgenland;1;293433;2;6;4;1,363173;0;0;0;0
11.03.2020 00:00:00;Kärnten;2;560939;2;3;1;0,1782725;0;0;0;0
11.03.2020 00:00:00;Niederösterreich;3;1677542;8;52;39;2,32483;0;0;1;1
11.03.2020 00:00:00;Oberösterreich;4;1482095;27;55;28;1,889218;0;0;0;2
11.03.2020 00:00:00;Salzburg;5;555221;1;13;9;1,620976;0;0;0;3
11.03.2020 00:00:00;Steiermark;6;1243052;9;27;15;1,206707;0;0;0;0
11.03.2020 00:00:00;Tirol;7;754705;37;77;40;5,300084;0;0;0;2
