Datum;BundeslandID;Bevölkerung;Name;EingetrageneImpfungen;EingetrageneImpfungenPro100;Teilgeimpfte;TeilgeimpftePro100;Vollimmunisierte;VollimmunisiertePro100;Gruppe_<25_M_1;Gruppe_<25_W_1;Gruppe_<25_D_1;Gruppe_25-34_M_1;Gruppe_25-34_W_1;Gruppe_25-34_D_1;Gruppe_35-44_M_1;Gruppe_35-44_W_1;Gruppe_35-44_D_1;Gruppe_45-54_M_1;Gruppe_45-54_W_1;Gruppe_45-54_D_1;Gruppe_55-64_M_1;Gruppe_55-64_W_1;Gruppe_55-64_D_1;Gruppe_65-74_M_1;Gruppe_65-74_W_1;Gruppe_65-74_D_1;Gruppe_75-84_M_1;Gruppe_75-84_W_1;Gruppe_75-84_D_1;Gruppe_>84_M_1;Gruppe_>84_W_1;Gruppe_>84_D_1;Gruppe_<25_M_2;Gruppe_<25_W_2;Gruppe_<25_D_2;Gruppe_25-34_M_2;Gruppe_25-34_W_2;Gruppe_25-34_D_2;Gruppe_35-44_M_2;Gruppe_35-44_W_2;Gruppe_35-44_D_2;Gruppe_45-54_M_2;Gruppe_45-54_W_2;Gruppe_45-54_D_2;Gruppe_55-64_M_2;Gruppe_55-64_W_2;Gruppe_55-64_D_2;Gruppe_65-74_M_2;Gruppe_65-74_W_2;Gruppe_65-74_D_2;Gruppe_75-84_M_2;Gruppe_75-84_W_2;Gruppe_75-84_D_2;Gruppe_>84_M_2;Gruppe_>84_W_2;Gruppe_>84_D_2;Gruppe_NichtZuordenbar;EingetrageneImpfungenBioNTechPfizer_1;EingetrageneImpfungenModerna_1;EingetrageneImpfungenAstraZeneca_1;EingetrageneImpfungenBioNTechPfizer_2;EingetrageneImpfungenModerna_2;EingetrageneImpfungenAstraZeneca_2;EingetrageneImpfungenJanssen
2020-12-31T23:59:59+01:00;7;757634;Tirol;92;0.01;92;0.01;0;0.00;3;0;0;0;6;0;4;7;0;10;11;0;4;12;0;3;3;0;6;5;0;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;0;0;0;0
2020-12-31T23:59:59+01:00;8;397139;Vorarlberg;278;0.07;278;0.07;0;0.00;7;4;0;5;12;0;10;27;0;16;41;0;23;44;0;19;14;0;9;20;0;7;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;278;0;0;0;0;0;0
2020-12-31T23:59:59+01:00;9;1911191;Wien;1839;0.10;1839;0.10;0;0.00;38;9;0;89;78;0;59;93;0;85;211;0;110;139;0;102;119;0;116;231;0;79;281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1839;0;0;0;0;0;0
2020-12-31T23:59:59+01:00;10;8901064;Österreich;5013;0.06;5013;0.06;0;0.00;80;36;0;160;191;0;195;330;0;253;622;0;340;445;0;242;247;0;281;544;0;208;839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5013;0;0;0;0;0;0
2021-01-01T23:59:59+01:00;0;;KeineZuordnung;237;;237;;0;;0;0;0;0;2;0;3;11;0;5;15;0;3;10;0;13;6;0;21;33;0;31;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;0;0;0;0;0;0
2021-01-01T23:59:59+01:00;1;294436;Burgenland;121;0.04;121;0.04;0;0.00;0;0;0;1;3;0;11;8;0;7;9;0;7;9;0;7;6;0;6;16;0;7;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121;0;0;0;0;0;0
2021-01-01T23:59:59+01:00;2;561293;Kärnten;3;0.00;3;0.00;0;0.00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
2021-01-01T23:59:59+01:00;3;1684287;Niederösterreich;2234;0.13;2234;0.13;0;0.00;29;19;0;61;85;0;97;171;0;119;323;0;182;212;0;88;90;0;102;207;0;71;378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2234;0;0;0;0;0;0
2021-01-01T23:59:59+01:00;4;1490279;Oberösterreich;63;0.00;63;0.00;0;0.00;2;2;0;1;1;0;3;6;0;1;4;0;2;6;0;5;4;0;4;9;0;4;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0
2021-01-01T23:59:59+01:00;5;558410;Salzburg;95;0.02;95;0.02;0;0.00;1;0;0;2;6;0;7;4;0;5;7;0;4;9;0;1;1;0;11;15;0;7;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0;0;0;0;0
2021-01-01T23:59:59+01:00;6;1246395;Steiermark;55;0.00;55;0.00;0;0.00;0;2;0;1;0;0;1;3;0;4;2;0;5;5;0;3;4;0;6;7;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0
2021-01-01T23:59:59+01:00;7;757634;Tirol;92;0.01;92;0.01;0;0.00;3;0;0;0;6;0;4;7;0;10;11;0;4;12;0;3;3;0;6;5;0;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;0;0;0;0
2021-01-01T23:59:59+01:00;8;397139;Vorarlberg;278;0.07;278;0.07;0;0.00;7;4;0;5;12;0;10;27;0;16;41;0;23;44;0;19;14;0;9;20;0;7;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;278;0;0;0;0;0;0
2021-01-01T23:59:59+01:00;9;1911191;Wien;1839;0.10;1839;0.10;0;0.00;38;9;0;89;78;0;59;93;0;85;211;0;110;139;0;102;119;0;116;231;0;79;281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1839;0;0;0;0;0;0
2021-01-01T23:59:59+01:00;10;8901064;Österreich;5017;0.06;5017;0.06;0;0.00;80;36;0;160;193;0;195;330;0;253;623;0;340;446;0;242;247;0;281;544;0;208;839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5017;0;0;0;0;0;0
2021-01-02T23:59:59+01:00;0;;KeineZuordnung;237;;237;;0;;0;0;0;0;2;0;3;11;0;5;15;0;3;10;0;13;6;0;21;33;0;31;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;0;0;0;0;0;0
2021-01-02T23:59:59+01:00;1;294436;Burgenland;121;0.04;121;0.04;0;0.00;0;0;0;1;3;0;11;8;0;7;9;0;7;9;0;7;6;0;6;16;0;7;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121;0;0;0;0;0;0
